loss,confidence_loss,dimension_loss,orientation_loss,confidence_accuracy,dimension_mse,orientation_mse,val_loss,val_confidence_loss,val_dimension_loss,val_orientation_loss,val_confidence_accuracy,val_dimension_mse,val_orientation_mse
2.772580862045288,0.41543808579444885,0.4308193027973175,0.27384257316589355,0.5077592730522156,0.4308193027973175,0.7312508821487427,1.494917631149292,0.3277202546596527,0.24078243970870972,0.0847635418176651,0.5348712205886841,0.24078243970870972,0.7474836111068726
1.4621597528457642,0.313923180103302,0.22660523653030396,0.11478082835674286,0.5575321912765503,0.22660523653030396,0.7453936338424683,1.020881175994873,0.2928377091884613,0.15377017855644226,0.07040739059448242,0.5466738343238831,0.15377017855644226,0.7486910820007324
1.0074259042739868,0.2867063879966736,0.14568288624286652,0.09043876081705093,0.5872445106506348,0.14568288624286652,0.7474930286407471,0.8049976825714111,0.27228844165802,0.11416519433259964,0.06535153090953827,0.6255365014076233,0.11416519433259964,0.7490595579147339
0.849929928779602,0.2680581510066986,0.11959020048379898,0.07863292098045349,0.6416540741920471,0.11959020048379898,0.7485865950584412,0.7352135181427002,0.265330970287323,0.10316545516252518,0.057813916355371475,0.6620171666145325,0.10316545516252518,0.7500542998313904
0.7045542001724243,0.24877506494522095,0.09404086321592331,0.07330828160047531,0.6924678087234497,0.09404086321592331,0.7490301728248596,0.6413668394088745,0.2355024516582489,0.08709102869033813,0.05877363309264183,0.7027897238731384,0.08709102869033813,0.749405562877655
0.6242405772209167,0.22605222463607788,0.08125732839107513,0.0699521079659462,0.7312641739845276,0.08125732839107513,0.749317467212677,0.581473171710968,0.20840880274772644,0.07918545603752136,0.054227739572525024,0.7451716661453247,0.07918545603752136,0.750058650970459
0.5626473426818848,0.20335467159748077,0.07279923558235168,0.06464903801679611,0.7647615671157837,0.07279923558235168,0.7498099207878113,0.5434182286262512,0.19438280165195465,0.0737055316567421,0.051799431443214417,0.7650214433670044,0.0737055316567421,0.750683605670929
0.5451099276542664,0.1845829039812088,0.07217681407928467,0.061289578676223755,0.7890802621841431,0.07217681407928467,0.7500680685043335,0.5544307827949524,0.17582422494888306,0.07795236259698868,0.05117116495966911,0.7998927235603333,0.07795236259698868,0.7500815391540527
0.4423457086086273,0.16437724232673645,0.0548739954829216,0.05719158053398132,0.813493549823761,0.0548739954829216,0.7504488825798035,0.46966472268104553,0.1622130572795868,0.0636916533112526,0.04673329368233681,0.7977467775344849,0.0636916533112526,0.7506607174873352
0.4018559455871582,0.1481560468673706,0.04859435185790062,0.056537602096796036,0.8330810070037842,0.04859435185790062,0.7505236268043518,0.45696187019348145,0.14423707127571106,0.062165871262550354,0.04934267699718475,0.8379828333854675,0.062165871262550354,0.7505066394805908
